Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Biografia_Resumen_x,Listeners_LastFM_x,Playcount_LastFM_x,Artistas_Similares,Biografia_Resumen_y,Playcount_LastFM_y,Listeners_LastFM_y
Eddie Bo,funk (Origen: funk),Canción,"Check Mr. Popeye, Pt. 1",2010,4oslV7AWymBKr6SjtXfeje,1TNG36QEWz5ATz9wfFRq0p,"Eddie Bo (born Edwin Joseph Bocage, New Orleans, Louisiana, September 20, 1930 – March 18, 2009) was an American rhythm and blues singer and New Orleans-style pianist.
Schooled in jazz, he was known for his blues, soul and funk recordings, compositions, productions and arrangements. He debuted on Ace Records in 1955 and released more single records than anyone else in New Orleans other than Fats Domino.

Eddie Bo came from a long line of ship builders with the male members of his family being bricklayers",68072,366014,"Joe Tex, Betty Harris, Ernie K-Doe, Lee Dorsey, Allen Toussaint",,,
"Ernie and The Top Notes, Inc.",funk (Origen: funk),Canción,Who Dat?,2010,7pmokusZ2NKUZsXiHaNp95,0twe7YjMxsBncxZuGR1j1z,"Considered by most to be the pioneer in what we know today as funk music, Ernie Vincent grew up like many a southern Louisiana child – entrenched in rich musical tradition. His early years were spent playing the guitar, honing his craft with lessons from family, friends, and neighbors .

The early 1970s were met with unequivocal notoriety when Ernie formed the Top Notes - a group who carved a place in music history with their production of the funk anthem “Dap Walk.”",7383,25012,"The Explosions, Lee Dorsey & Betty Harris, Marilyn Barbarin, Gentleman June Gardner, Chuck Carbo",,,
Julius Papp,funk (Origen: funk),Canción,Pacific State,2010,32Jxvfqe0GErg5HOsnloFz,5e5RpLVR1h4ALLwwIQUehA,"Julius Papp is a house music producer and DJ whose roots lie in Disco of the '70s and New Wave of the '80s.

He blends various styles together (including Latin, Afro, Disco, Jazz) with such fluidity that it is difficult at times to put a defining stamp on his sound. Contributing to that is his willingness to take a chance. He always tries to push the envelope by introducing music that may or may not go over well, but feels deserves the exposure. He takes his audience on a musical journey with various mood and energy changes.",41887,187896,"Satin Souls, Weekender, Naked Music NYC, Chuck Love, Central Living","Julius Papp is a house music producer and DJ whose roots lie in Disco of the '70s and New Wave of the '80s.

He blends various styles together (including Latin, Afro, Disco, Jazz) with such fluidity that it is difficult at times to put a defining stamp on his sound. Contributing to that is his willingness to take a chance. He always tries to push the envelope by introducing music that may or may not go over well, but feels deserves the exposure. He takes his audience on a musical journey with various mood and energy changes. <a href=""https://www.last.fm/music/Julius+Papp"">Read more on Last.fm</a>",187896,41887
Rephrase,funk (Origen: funk),Canción,Gossip Feat. Paula Baxter,2010,4bDYeOisCf4Qw6EMFz6049,2Fu3g0XaaGFnDZuxaVKj3j,"Rephrase is a producer of electronic funk breaks from Sydney, Australia.

http://www.myspace.com/rephrasemusic",10535,66887,"BadboE, Feature Cast, Dynamo Productions, All Good Funk Alliance, Boca 45",,,
Change,funk (Origen: funk),Canción,You'll Never Realize (Full Length Album Mix),2010,05OuASJfttDXDIO80tr8R9,2iDcdBvAukMbpqlFCmQglU,"There are at least six bands/artists with the name Change:

1: This great band is one of the best, but also one of the most underrated ensembles in the soul, disco and R&B genres during the first half of the 80s. They created a catchy, smooth and polished disco, and later R&B and pop funk sound, with a touch of heaven. Here is the story about the group that might let them shine a little bit longer and perhaps do so for new music lovers as well, they certainly deserve it!",197257,1488832,"D Train, Evelyn ""Champagne"" King, Shalamar, Melba Moore, Unlimited Touch",,,
King George,funk (Origen: funk),Canción,Holla Back,2010,1GWnIjK8YJGAimnOFwJj8U,3gyWymKj9IP5ETyjjevl6F,,19475,194548,"Boosie Badazz, Nipsey Hussle, Too $hort, Daz Dillinger, Geto Boys",,,
Ursula 1000,funk (Origen: funk),Canción,Graveyard Stomp,2010,5L8FKi0MzkyCUfssMHoTXa,2LVt2AhBDjQSL3S0aRS9DV,"Ursula 1000 is a lounge music project of DJ Alex Gimeno. Gimeno was born in Brooklyn, New York. During his childhood, he and his family moved to Miami Beach where his father, a musician, found steady work. He moved back to Brooklyn in the late 90s.

In his youth, Gimeno was exposed to 50s and 60s exotica, world music, bossa nova and merengue music that his parents listened to which deeply influenced him. He began collecting records as a teenager and in his own words ""never stopped"".",221429,2600137,"Soma Sonic, Rainstick Orchestra, Marsmobil, Zimpala, The Mighty Bop",,,
Antonio Sorrentino,funk (Origen: funk),Canción,M'aggia Curà,2010,3c054UfezkOWRa97XtxmuH,6r6WFds1GFeIEkMqNF4uop,,7685,31895,"Pellegrino, Eva Eva Eva, afrodesia, Masamasa, Auroro Borealo",,,
King George,funk (Origen: funk),Canción,Outro,2010,0JyXGWUtyh1lZjzVA0kw4M,07SsUrUxUAIJw3Y9FjSyXR,,19475,194548,"Boosie Badazz, Nipsey Hussle, Too $hort, Daz Dillinger, Geto Boys",,,
Cineplexx,funk (Origen: funk),Canción,Belle & Sebastian,2010,7GfTRxbVAUtSwuIQjdGDDL,5nUEbs0A0q6hkiQcJtZVZM,"Sebastian Litmanovich (a.k.a. CINEPLEXX) was born 1973 in Buenos Aires, but now lives in Barcelona, Spain. 

This multi-instrumentalist records out of his home studio using both analog and digital recorders, and  sings all of the lyrics as well as playing the majority of the instrumentals. 

He has made albums under diverse aliases such as Amarena Incident (a post rock band from 1997), Readme & Anthony (a college electronic band www.readmeandanthony.",20517,157242,"Pablo Malaurie, Violeta Castillo, Altocamet, Diosque, Delta Venus",,,
