Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Popularidad
Diego Torres,Latin (Origen: latin pop),Canción,No Alcanzan Las Flores,2010,0xsr84ZgsPPOgARZoAIHVx,3QWLsjiPkGOFLZ7GEBsNhi,43
Camila,Latin (Origen: latin pop),Canción,Dejarte de Amar,2010,2itL5ufxxduT1hUocBvSdJ,0MPMiyavAbARflBlNGjIA6,46
Camila,Latin (Origen: latin pop),Canción,Mientes - (Version Acústica),2010,6rFDuwKiBF1Bx4REUsplt7,7oaQZ49gr32aSpaJ0ZLM7E,17
Damián Córdoba,Latin (Origen: latin pop),Canción,Q' Tal,2010,1PDtrQFf9pseH4J58Rf8iw,6yISxI632Khpi7zWaj91sQ,59
Chayanne,Latin (Origen: latin pop),Canción,Siento,2010,5BHOvdkbRanV1tIWaxKSvR,2Z1OKCVyqJ1lMHTU612E07,38
Shakira,Latin (Origen: latin pop),Canción,Devoción,2010,58haa2vmqz7tCG7FFDrLWZ,3gR578qnw47M30LVBTjrlW,43
ChocQuibTown,Latin (Origen: latin pop),Canción,De Donde Vengo Yo,2010,45u74xsxp52pwKRypyWxUs,3DKX0g1ZBCAnnc05zNxiEN,27
Enrique Iglesias,Latin (Origen: latin pop),Canción,Dile Que,2010,7uSmwldEpCtl9WhFEiH3RG,5JNhQFH8HMKQWP4SITzdoc,42
Ricardo Arjona,Latin (Origen: latin pop),Canción,Qué Voy a Hacer Conmigo,2010,5F0lcomkvDUMXC0MzBbKuf,6ILI18PjZWhIi3yEoP3PpJ,45
Enrique Iglesias,Latin (Origen: latin pop),Canción,Tu Y Yo,2010,7ncRy35NIlwfEyPytMu2DX,5JNhQFH8HMKQWP4SITzdoc,43
Shakira,Latin (Origen: latin pop),Canción,Mariposas,2010,5mqbIuIagl2q2HZqTiLSfS,3gR578qnw47M30LVBTjrlW,43
Julieta Venegas,Latin (Origen: latin pop),Canción,Despedida,2010,1aE6eXDmeZA9XQsQLuXsSE,7rrYlu3nL2ZfW7RR9tSDMO,51
Chayanne,Latin (Origen: latin pop),Canción,Me Pierdo Contigo,2010,2GRVeE4aAV1LNoI1y3Awy4,2Z1OKCVyqJ1lMHTU612E07,40
Nelly Furtado,Latin (Origen: latin pop),Canción,Fotografía - Duet With Juanes,2010,7LDFERi0M8S23zgA5l8JDb,1uH3MnbKQVPFZa0tuzpgoZ,41
Carla Morrison,Latin (Origen: latin pop),Canción,Esta Soledad,2010,3atBihS3yDm2fTduR9AADF,27D8ocwRauxTXCZKIbpZKg,50
Juan Luis Guerra 4.40,Latin (Origen: latin pop),Canción,La Calle,2010,6akA6K3koUfyu1atnByNDr,2LqYd5gIJxEvG5md8kGeyL,39
Felipe Peláez,Latin (Origen: latin pop),Canción,Despues de Ti,2010,0sXoDU0oCReaFD2XqJKVe0,55hnkHvJs1RySORpAAFM2a,48
Chayanne,Latin (Origen: latin pop),Canción,Tu Boca,2010,7nGiBA8aCeMbh4bQun3pFT,2Z1OKCVyqJ1lMHTU612E07,44
El Guincho,Latin (Origen: latin pop),Canción,Bombay,2010,60aWOhenofxdFViDXn3lfp,5GDOwdJ0okcBaqmyPlNSsC,40
Belinda,Latin (Origen: latin pop),Canción,Dopamina,2010,5NpOHO4AtDL0KK2TXzgKbU,50t7ukoOOT4d6eoH6HZKYG,26
Joey Montana,Latin (Origen: latin pop),Canción,Tus Ojos No Me Ven,2010,3AeI1xRkvnylBB94JKuXzt,10BqbyvQvltaEwWr9I67l8,53
Julieta Venegas,Latin (Origen: latin pop),Canción,Amores Platónicos,2010,3dyr9NVX6cZwYelfZLFUYQ,7rrYlu3nL2ZfW7RR9tSDMO,49
Luis Miguel,Latin (Origen: latin pop),Canción,La Chica Del Bikini Azul,2010,3WYggjHWaIjvonYfDBPDV0,2oHF59HQoCwm67wXS4OzPK,54
David Bisbal,Latin (Origen: latin pop),Canción,Latin Love,2010,1rO57hmCfeMsGGhOdgeVjK,3G5a3YahvUN4jbFrg0PBRE,9
Oki y Los Pibes De Oro,Latin (Origen: latin pop),Canción,Popurri,2010,2ReQMgQnU9Ds0VjOtgVPg6,538vGjWskok8gwUOcJZ6fa,21
Oki y Los Pibes De Oro,Latin (Origen: latin pop),Canción,Popurri de El Tiempo,2010,2plTlVgelhZ0GZk0FNqyN3,538vGjWskok8gwUOcJZ6fa,25
Antonio Orozco,Latin (Origen: spanish pop),Canción,Ya Lo Sabes,2010,7Cgva5oPX7e412mUlDLreF,5qe341vXwMqhKUljw13rjm,54
De Jeugd Van Tegenwoordig,Latin (Origen: spanish pop),Canción,Get Spanish,2010,7yHDSgozeHWY4uqDy65nKl,11rfbdYl1pFjo4sVoPWuKB,47
