Artista,Genero,Origen_busqueda,Cancion,Year,ID_Spotify,ID_Album,Popularidad,Biografia_Resumen,Listeners_LastFM,Playcount_LastFM,Artistas_Similares
Trombone Shorty,funk,funk,Something Beautiful,2010,1ZESGzWrFSwXPplkscUsUR,5J26uchSALEhy9xwkdeV5a,46,"Troy ""Trombone Shorty"" Andrews (born January 2, 1986) is a trombone  and trumpet  player from New Orleans, Louisiana, United States. 

Troy Andrews is the younger brother of trumpeter and bandleader James Andrews . Growing up in New Orleans' Treme neighborhood, ""Trombone Shorty"" was participating in brass band parades as a child, carrying his trombone even before his arms were long enough to reach all the positions of the slide. Andrews was a bandleader by the age of 6.",138319,1798803,"Lucky Chops, Youngblood Brass Band, Rebirth Brass Band, Lettuce, TOO MANY ZOOZ"
Mary Nelson,funk,funk,Let's Groove,2010,5m41M8RJ8Vw7SYl5CV5aP4,5rcv1EpC7gPYICga33Z5iD,33,,4441,21371,"Stina Förster, Brenda Wilson, Sister Kat, Liza Everson Feat. Alvin S, Gwada Soul"
Jamiroquai,funk,funk,Smoke and Mirrors,2010,1JKh2bRSYxx04pBEmFM6Bt,5mTP7Oivpq88d7ZQ9DBt4F,44,"Jamiroquai is an English funk and acid jazz band from London. Formed in 1992, they are fronted by vocalist Jay Kay, and were prominent in the London-based funk and acid jazz movement of the 1990s. They built on their acid jazz sound in their early releases and later drew from rock, disco, electronic and Latin music genres. Lyrically, the group has addressed social and environmental justice. Kay has remained as the only original member through several line-up changes.",2770951,98902130,"The Brand New Heavies, Incognito, Modjo, Stevie Wonder, Chic"
Funki Porcini,funk,funk,Belisha Beacon,2010,40h7xQiyjS92mUz27NsRMi,4fu84iEmDJU0DvnLW2X3Ht,39,"Funki Porcini is composer and film maker James Braddell (a.k.a Giacomo Braddellini). His swirling mixtures of downtempo breaks, smooth ambiance, and disjointed drum'n'bass helped put the London-based Ninja Tune label on the map. His latest album is ""Modern Hymns for Modern Things"" (September 2025, self-release).

Funki Porcini began making music in San Francisco when he moved into The Residents' old warehouse. After much experimentation with early",536254,6215705,"9 Lazy 9, DJ Food, The Herbaliser, Up, Bustle and Out, Amon Tobin"
Melba Moore,funk,funk,Love's Comin' At Ya - 2004 Digital Remaster,2010,2JXK3ELYkEcGTE4dsO4kYq,2H8dX8DEFqG96KEkzCv3Jd,49,"Melba Hill, 29 October 1945, New York City, New York, USA. Based in New York, Melba Moore first attracted attention in the Broadway production of Hair. Although she has continued her thespian inclinations, winning an award for her performance in the musical Purlie, Moore has also forged a successful singing career. 'This Is It', a minor US hit, reached the UK Top 10 in 1976, and although her pop chart placings have since been inconsistent, Moore remained a fixture on the R&B lists over the following decade.",123188,677532,"Phyllis Hyman, Evelyn ""Champagne"" King, The Ritchie Family, Change, Skyy"
Andre Crom,funk,funk,In The City - Original Mix,2010,46pC4olXs8c5WJOm9Pzrz6,2tjwTZsuoZe7YI8H5HZgnV,38,"Andre Crom from Germany, had an amazing start into 2013: a #1 Beatport Deephouse Charts hit (Teenage Mutants & Hanging On).  Besides that, both his label and himself entered the „mostcharted labels/artists of 2012 list of Resident Advisor with # 8 for OFF Recordings and # 40 for Andre Crom.  The future does not look bad either: solo shows and label showcases all over the world are confirmed for the first half of 2013, including key events such as Sonar, A.D.E. and several ibiza gigs.",38597,141914,"Doctor Dru, Ralph Sliwinski, Mihalis Safras, NTFO, Harry Axt"
Jamiroquai,funk,funk,All Good In The Hood,2010,6lYDFEsQRgCDj0cBKodzG0,5mTP7Oivpq88d7ZQ9DBt4F,46,"Jamiroquai is an English funk and acid jazz band from London. Formed in 1992, they are fronted by vocalist Jay Kay, and were prominent in the London-based funk and acid jazz movement of the 1990s. They built on their acid jazz sound in their early releases and later drew from rock, disco, electronic and Latin music genres. Lyrically, the group has addressed social and environmental justice. Kay has remained as the only original member through several line-up changes.",2770951,98902130,"The Brand New Heavies, Incognito, Modjo, Stevie Wonder, Chic"
Uffie,funk,funk,ADD SUV (feat. Pharrell Williams) - Armand Van Helden Club Remix,2010,7kE1g5T0Mmc84izq9DirqZ,7iAhrXrGRbPcXWL6E8xiIW,50,"Anna-Catherine Hartley (born December 9, 1987), known professionally as Uffie, is an American-French singer, songwriter, rapper, DJ, and fashion designer formerly signed to French electronic music record label Ed Banger Records. Uffie's music incorporates synthpop, acid house, alternative dance, and ""somewhere between electro, rap and nu skool"". Her music is said to have ""had a lasting and widespread influence in the 2010s"" . 

She was born in Miami, raised in Hong Kong and now lives in Paris.",620404,11419883,"Nadia Oh, Miss Kittin & The Hacker, Peaches, Sebastian, Mr. Oizo"
LaBelle,funk,funk,Lady Marmalade - Single Version,2010,3bFK0tj9d6IWdAUSX3oylo,1k7WkNHGPNPnri2tsowvtg,37,"LaBelle is an American R&B/soul group from Philadelphia, Pennsylvania, USA, who successfully melded dance music with funk and glam rock. Mostly active in the 60s and 70s disband but reformed in 2005. Their most recognised song is ""Lady Marmalade"". The group was led by Patti LaBelle, who later had a successful solo career. Nona Hendryx, Sarah Dash and Cindy Birdsong rounded out the group, with Hendryx especially notable as a prolific songwriter.

In 1961",267260,1184020,"The Pointer Sisters, Patti LaBelle, Rufus, The Emotions, McFadden & Whitehead"
Delegation,funk,funk,Put a Little Love On Me,2010,6EOAOGls9pIdUJsrqytcXK,1um0JgV0FOnEg3UA0IF2hc,51,"1- Delegation is a disco band consisting of Ricky Bailey, Len Coley, Ray Patterson and Roddy Harris.
They started their career in the late 70s with the singles «The Promise Of Love» and ""Put A Little Love On Me"". Later on, Delegation released the albums «Delegation», «Eau De Vie», «Delegation II», «Deuces High» and «Encore». 

Ricky Bailey & Delegation... delivering all that's great about British 70's, 80's & 90's Soulful Funk!

Delegation one of the foremost recording and touring soul funk bands of the 70's",471965,3340878,"William Devaughn, Shalamar, Patrice Rushen, Evelyn ""Champagne"" King, Change"
Stina Förster,funk,funk,Ai No Corrida,2010,5UqhD59LNgxZuDDwrxG7o9,5rcv1EpC7gPYICga33Z5iD,25,,931,4361,"Brenda Wilson, Mary Nelson, Sister Kat, Liza Everson Feat. Alvin S, Gwada Soul"
Rebirth Brass Band,funk,funk,Feel Like Funkin' It Up - Live Street Mix,2010,4zeyZiGokys0aqVibHlWgw,2axJjtgJbRtqYXUgrUy8Sb,36,"The Rebirth Brass Band is a New Orleans brass band. The group was founded in 1983 by tuba player Philip Frazier, his brother Keith Frazier and trumpeter Kermit Ruffins, along with other musicians with them at the Joseph S. Clark Sr. High School in the Treme neighborhood of New Orleans. Rebirth is known for combining traditional New Orleans brass band music, including the New Orleans tradition of second line with funk, jazz, and soul influences. In 1992",79681,643150,"The Dirty Dozen Brass Band, Kermit Ruffins, Preservation Hall Jazz Band, Professor Longhair, Trombone Shorty"
Linda Fields,funk,funk,"Shame, Shame, Shame",2010,1cdRKJlpHp273rwdqMRLOr,2qlmtkBLyoBDkGRVcKh00D,38,"Linda Fields released the singles ""Shame Shame Shame"" and ""In The Summertime"".
In the 70s, Linda was member of The Funky Boys.",21614,70590,"Eugene Record, Brian Holland, Herman Jones, Mary Clark, Sandra Wright"
James Brown,funk,funk,People Get Up And Drive Your Funky Soul,2010,7FqcsBx3azfOg1gAJkAXje,0iQyfK5hgJyt9G9fsfr01X,50,"James Joseph Brown (May 3, 1933 – December 25, 2006) was an American entertainer, record producer, and bandleader. The central progenitor of funk music and a major figure of 20th century music, he is often referred to by the honorific nicknames ""the Hardest Working Man in Show Business"", ""Godfather of Soul"", ""Mr. Dynamite"", and ""Soul Brother No. 1"". In a career that lasted more than 50 years, he influenced the development of several music genres.",2358140,36604163,"James Brown & The Famous Flames, The J.B.'s, Sly & The Family Stone, Lyn Collins, Ohio Players"
