Artista,Genero,Origen_busqueda,Cancion,Year,ID_Spotify,ID_Album,Popularidad,Biografia_Resumen,Listeners_LastFM,Playcount_LastFM,Artistas_Similares
JustDemianAgain,funk,classic funk,2hot (Friday Night Funkin),2024,33wdpRWF5dcqnIAjOJIfK2,34vZOyHRdTnjcCNIuRgc3f,2,,1221,11440,"LSKR, Gwinn, Yaya Orchestra, Nuo, 村山☆潤"
Itty Bitty,funk,classic funk,Pumped Up Funk - Klubbheads SG Mix,2024,69tndGWvdxnP0mOpa9PXYZ,1WqPKxZZDFJfJWcGa162fE,1,,1130,2492,"DJ Misjah, Mass Medium, Da Klubb Kings, Club Caviar, Mark Van Dale"
PHXNKGHXST,funk,classic funk,Rasputin Phonk,2024,5VJbsOuF8GvfrEQU6muJsx,0xrwb06coM0X4mZVuPbJO2,12,,323,869,"Phonk 808, DAP Beats, Jimphonker, UselessXIII, Lil Dot"
Don Thomas,funk,classic funk,Come on Train,2024,3A89TART4g09Y8myu4ZRws,1MwHjpG0Ojtf0MnK3zajP1,21,"There is more than one artist with this name.

1. Don Thomas (born Charles Thomas) is an African-American soul singer. He was a member of The Drifters between 1969 and 1971. He is best remembered for his 1973 single 'Come On Train' which achieved massive popularity on the UK Northern Soul scene.

2. Don Thomas. Acoustic, new age, instrumental music (1995 to the  present).  Known cd's include ""Sounds of Autumn"", ""Sounds of Summer"", ""Sounds of Spring"", ""Sounds of Winter"".",16675,84521,"The M.V.P.'s, Chuck Wood, Rita & The Tiaras, Joy Lovejoy, Dean Parrish"
Rachel Portman,funk,classic funk,Flight,2024,4cM4HiYQShAOlf3STKi5Ih,54zwS28fTWKsZpw3D6wJOl,7,"Rachel Mary Berkeley Portman (born 11 December 1960 in Haslemere, England, UK) is a British composer, best known for scoring films. She was educated at Charterhouse School and Worcester College, Oxford.

Ms. Portman has composed the scores for dozens of feature films, including ""Emma"", ""Chocolat"", ""Oliver Twist"", ""The Cider House Rules"", ""The Duchess"", and ""Never Let Me Go"".
She was the first female composer to win an Academy Award in the category of Best Musical or Comedy Score (for ""Emma"" in 1996).",396149,5501997,"Thomas Newman, James Horner, James Newton Howard, Dario Marianelli, Mark Isham"
Fred Wesley,funk,classic funk,House Party,2024,1FWpMnt9rIlvox16KNPfq3,2MMQ9uHzLM28G84UWtf3jx,12,"Fred Wesley (born 1943) is an American jazz and funk trombonist, best known for his work with James Brown in the 1960s and 1970s.

Wesley was born in Mobile, Alabama, the son of a high school teacher and big band leader. During the 1960s and 1970s he was a pivotal member of James Brown's bands, playing on many hit recordings including ""Say it Loud - I'm Black and I'm Proud"", ""Mother Popcorn"" and co-writing tunes such as ""Hot Pants"". His slippery riffs and pungent",47125,265350,"The J.B.'s, Maceo Parker, Fred Wesley & The J.B.'s, Idris Muhammad, Bootsy Collins"
JimPhonker,funk,classic funk,Beethoven Phonk,2024,00iwSj7Rxs44YZKMyscnS9,0xrwb06coM0X4mZVuPbJO2,12,,2060,6591,"immxnsephxnk, Phonk 808, Jungs Studios, 60PERCENTHOMO, Goofy Cobra"
Lofi Cat,funk,classic funk,All Cats are Beautiful,2024,092v9LDbAbZRq0vBjhMjnX,3yZkwAyptV8t08DaFI2MVR,1,,8162,46644,"Lobster Gibbs, Loopy Luke, TER.N, omar bmar, Move Da Beat"
Funky DL,funk,classic funk,Only the Initials CM... - Instrumental,2024,6xlDlsujnHRdPgGgr3LUE2,4R9HJ9pNkNidoSLDTSlJS2,1,"Back in 1995 a 17-year-old MC took to the hip-hop scene in the UK. Armed only with a few demos and oblivious of how to prosper in the music industry, little did he know he would end up being one of the few pioneers of hip-hop in the UK.

Funky DL started earning props when his music received regular air play on stations such as Kiss FM, Choice FM and Radio one by the likes of veteran Jockeys such as DJ 279, Max LX and Dave VJ and Tim Westwood.

In",172955,2122468,"Substantial, Pase Rock, Shing02, Nujabes, Cyne"
Funky DL,funk,classic funk,I Like Your Vibe,2024,4pvBenuWOrBIeKkE1KeuMB,4dbPuGp88rIKVKb24jM670,8,"Back in 1995 a 17-year-old MC took to the hip-hop scene in the UK. Armed only with a few demos and oblivious of how to prosper in the music industry, little did he know he would end up being one of the few pioneers of hip-hop in the UK.

Funky DL started earning props when his music received regular air play on stations such as Kiss FM, Choice FM and Radio one by the likes of veteran Jockeys such as DJ 279, Max LX and Dave VJ and Tim Westwood.

In",172955,2122468,"Substantial, Pase Rock, Shing02, Nujabes, Cyne"
Funky DL,funk,classic funk,Something About You,2024,4MNnHdl64SHkzy1iUC9QTZ,4dbPuGp88rIKVKb24jM670,4,"Back in 1995 a 17-year-old MC took to the hip-hop scene in the UK. Armed only with a few demos and oblivious of how to prosper in the music industry, little did he know he would end up being one of the few pioneers of hip-hop in the UK.

Funky DL started earning props when his music received regular air play on stations such as Kiss FM, Choice FM and Radio one by the likes of veteran Jockeys such as DJ 279, Max LX and Dave VJ and Tim Westwood.

In",172955,2122468,"Substantial, Pase Rock, Shing02, Nujabes, Cyne"
Rachel Portman,funk,classic funk,Leaves and Trees,2024,5HnvDApTSzT1Zj9XF0um2P,54zwS28fTWKsZpw3D6wJOl,6,"Rachel Mary Berkeley Portman (born 11 December 1960 in Haslemere, England, UK) is a British composer, best known for scoring films. She was educated at Charterhouse School and Worcester College, Oxford.

Ms. Portman has composed the scores for dozens of feature films, including ""Emma"", ""Chocolat"", ""Oliver Twist"", ""The Cider House Rules"", ""The Duchess"", and ""Never Let Me Go"".
She was the first female composer to win an Academy Award in the category of Best Musical or Comedy Score (for ""Emma"" in 1996).",396149,5501997,"Thomas Newman, James Horner, James Newton Howard, Dario Marianelli, Mark Isham"
JimPhonker,funk,classic funk,Katyusha Phonk,2024,5zqItXoc3njs2zpYyEY6pK,0xrwb06coM0X4mZVuPbJO2,12,,2060,6591,"immxnsephxnk, Phonk 808, Jungs Studios, 60PERCENTHOMO, Goofy Cobra"
Funky DL,funk,classic funk,Say What You Want,2024,0OqK5589zJsVN85eCXAKVe,4dbPuGp88rIKVKb24jM670,3,"Back in 1995 a 17-year-old MC took to the hip-hop scene in the UK. Armed only with a few demos and oblivious of how to prosper in the music industry, little did he know he would end up being one of the few pioneers of hip-hop in the UK.

Funky DL started earning props when his music received regular air play on stations such as Kiss FM, Choice FM and Radio one by the likes of veteran Jockeys such as DJ 279, Max LX and Dave VJ and Tim Westwood.

In",172955,2122468,"Substantial, Pase Rock, Shing02, Nujabes, Cyne"
PHXNKGHXST,funk,classic funk,Stereo Luv Phonk,2024,0cz2hmQL8EYSt0pNlwRi2L,0xrwb06coM0X4mZVuPbJO2,13,,323,869,"Phonk 808, DAP Beats, Jimphonker, UselessXIII, Lil Dot"
Patrick DJ,funk,classic funk,Sexy e Foda,2024,33nntBimmRIcAsxfxsPf2i,7xjGnuFfv0wD4w8CBcwzGn,28,,60162,404844,"MC C4, Décio Gomes, MC Madimbu, Dj Rokazz, DJ PIRES"
SoulNectar,funk,classic funk,Diagnosis Delight,2024,48VnDcUrpk5wLai6gprjC3,603JmQQ1My9DLvJ6hfSdvD,1,,418,1003,"Ross Lara, Mark Sunusuke, art music, Zama Meditation, Skylen"
Funky DL,funk,classic funk,East Side - Instrumental,2024,39J5ZbVCh20TF4kThbyuhm,4R9HJ9pNkNidoSLDTSlJS2,7,"Back in 1995 a 17-year-old MC took to the hip-hop scene in the UK. Armed only with a few demos and oblivious of how to prosper in the music industry, little did he know he would end up being one of the few pioneers of hip-hop in the UK.

Funky DL started earning props when his music received regular air play on stations such as Kiss FM, Choice FM and Radio one by the likes of veteran Jockeys such as DJ 279, Max LX and Dave VJ and Tim Westwood.

In",172955,2122468,"Substantial, Pase Rock, Shing02, Nujabes, Cyne"
Funky DL,funk,classic funk,The Look of Love - Lounge Version,2024,34RP7xAZnJ8LbOqVZUMxHG,7xSVmxzgmVixI4ZO9Poh2V,4,"Back in 1995 a 17-year-old MC took to the hip-hop scene in the UK. Armed only with a few demos and oblivious of how to prosper in the music industry, little did he know he would end up being one of the few pioneers of hip-hop in the UK.

Funky DL started earning props when his music received regular air play on stations such as Kiss FM, Choice FM and Radio one by the likes of veteran Jockeys such as DJ 279, Max LX and Dave VJ and Tim Westwood.

In",172955,2122468,"Substantial, Pase Rock, Shing02, Nujabes, Cyne"
Funky DL,funk,classic funk,Both Eyes Closed,2024,7EGbHX508vPb0sgWUfCwUu,4dbPuGp88rIKVKb24jM670,6,"Back in 1995 a 17-year-old MC took to the hip-hop scene in the UK. Armed only with a few demos and oblivious of how to prosper in the music industry, little did he know he would end up being one of the few pioneers of hip-hop in the UK.

Funky DL started earning props when his music received regular air play on stations such as Kiss FM, Choice FM and Radio one by the likes of veteran Jockeys such as DJ 279, Max LX and Dave VJ and Tim Westwood.

In",172955,2122468,"Substantial, Pase Rock, Shing02, Nujabes, Cyne"
Funky DL,funk,classic funk,Thy Mother & Father - Instrumental,2024,1s0f8IdUHugr54emCuNPtr,4e5P8GG5z6yY7dOvatcpkr,4,"Back in 1995 a 17-year-old MC took to the hip-hop scene in the UK. Armed only with a few demos and oblivious of how to prosper in the music industry, little did he know he would end up being one of the few pioneers of hip-hop in the UK.

Funky DL started earning props when his music received regular air play on stations such as Kiss FM, Choice FM and Radio one by the likes of veteran Jockeys such as DJ 279, Max LX and Dave VJ and Tim Westwood.

In",172955,2122468,"Substantial, Pase Rock, Shing02, Nujabes, Cyne"
Maytree,funk,classic funk,Friday Night Funkin' Theme - acapella,2024,4ZsXNyv8UZVzUm7KNwWnx9,6uEaw8lNauD0pMsnwhXSto,2,"1]Maytree are a electronica band from chester and wales. There sound is a mixture of drum 'n bass, house, trip hop, jungle, techno and generic dance.
They are:

Scott - Lead vocals, Synth
Chris - Lead guitar, vocals
Duncan - bass guitar, vocals
Richard - Brass, Vocals, Synth, Sampling. 


2]Maytree is a Korean a cappella vocal group. 

The groups members are as follows:

Han Yun-Joo (한연주) - Soprano
Kang Soo-Kyung (강수경) - Alto
Choi Kyung-Young (최경영) - Tenor",9895,49194,"Jihan, Hong Dae Kwang, Mnet K-POP, Yoon Hyun Sang, 김수현"
Eamon,funk,deep funk,Light Me on Fire,2024,5C48MRzWAVUVo8fZdRzalC,1kFSD3hBZNuIxKBZiLRJSr,25,"There are at least two artists named Eamon

1. Staten Island vocalist Eamon appeared in late 2003, when his bold single ""F**k It "" took urban radio by storm. With its spare melody and stripped-down production — not to mention its profanity-laced dismissal of a two-timing lover — the song stood out immediately, and blew up request lines nationwide. Jive jumped on the fervor, fast-tracking a video for ""F**k It,"" and slating a full-length LP for January '04.",335666,1985320,"Pretty Ricky, Akon, Nelly, B2K, Baby Bash"
Alok,funk,deep funk,"Deep In Your Love - Dimitri Vegas & Like Mike, Ben Nicky & Dr Phunk Remix",2024,1CZVSkJAmXYKnWrQOcfnLi,2xWaZ911TiVgqY3Fu5IUfh,48,"Alok Achkar Peres Petrillo (born August 26, 1991) is a Brazilian musician, DJ and record producer. He is known for his single ""Hear Me Now"". In 2021, Alok was ranked the 4th best DJ in the world by DJ Mag, being the highest position occupied by a Brazilian.

Alok has become one of the most prominent icons in the Brazilian electronic scene, with honors and awards, such as ""Best DJ in Brazil"" by House Mag in 2014 and 2015, and being the only Brazilian in the top 25 in the world the following year by DJ Mag magazine.",1182170,24117575,"Cat Dealers, dubdogz, Vintage Culture, Bruno Martini, R3hab"
Jordan Astra,funk,deep funk,After Midnight,2024,3d1dJkyKCkNryh1QfLc7E4,5zHs3A7vJQgHLRfoFULxp5,45,"Jordan Astra is an Indonesian-Canadian singer / songwriter / producer based in Toronto. A student of Soul and R&B, Astra has created a sound that blends the musical stylings of Pharrell and Jamiroquai with subtle influences of Bruno Mars, SG Lewis, and Lucky Daye to create something uniquely his own.

The last 12 months have been special for Jordan. In late 2023, he independently released ‘Man From East’, an EP that explores the depths of Jordan’s journey from Australia returning back to his home in Canada and starting from scratch.",41757,188586,"THEHONESTGUY, Emotional Oranges, Armando Young, Christian Kuria, astels"
Technimatic,funk,deep funk,Deep Sands,2024,0Q9nnvugjLtCxXdfV5TP8H,6CoNQ5MVikUxaYbBfc6snQ,20,"Technimatic  is the collaborative effort of drum and bass producers Peter Rogers, aka Technicolour and Andy Powell, aka Komatic from London, UK.

Having started making music together back in 2007 as Technicolour & Komatic, releasing their first record ‘Preacher’ on Technique’s sister imprint Worldwide Audio, little could be known of what the future had in store. Since then the duo have gone on to release their liquid-infused blend of hyper-coloured drum and bass on labels such as Critical",128376,2235827,"Pola & Bryson, LSB, BCee, Monrroe, Dawn Wall"
Alexander IV,funk,deep funk,Hanbury,2024,0xncniHjN14nnn4Hj3jrE2,6Phhe0teEhbRvfnsyKLkFr,33,,29286,83332,"santpoort, Shallou, hermanito, Feiertag, Sweatson Klank"
Technimatic,funk,deep funk,Deep Sands,2024,6KzjV5qjy0nVLmIJEVQZGE,0gFh8KlHdYNBmFdLkW0Kyl,11,"Technimatic  is the collaborative effort of drum and bass producers Peter Rogers, aka Technicolour and Andy Powell, aka Komatic from London, UK.

Having started making music together back in 2007 as Technicolour & Komatic, releasing their first record ‘Preacher’ on Technique’s sister imprint Worldwide Audio, little could be known of what the future had in store. Since then the duo have gone on to release their liquid-infused blend of hyper-coloured drum and bass on labels such as Critical",128376,2235827,"Pola & Bryson, LSB, BCee, Monrroe, Dawn Wall"
Scruscru,funk,deep funk,Fool 2 Luv U,2024,4HIitODqxYibZrODaT6oif,6Aj8b2jJuq52ebzTtbr54F,36,,19770,116097,"Soul Wun, Hotmood, Igor Gonya, COEO, Thierry Tomas"
The Rollin' Deep,funk,deep funk,Funky Scoots,2024,5Ydkh8LcmDQmduNRKJc54r,3vrAFzI2cZKMr74Osrp5hy,35,,17104,110892,"The Rollin' Deep V2.0, Mauricesax, samedi.noir, Chief Takinawa, Yuri Wong"
DJ Dark,funk,deep funk,All of Me,2024,4CDv7mmdkOAR64esaZn7dV,3yg2CLYlfD7N9ZP5wONTNa,21,"Biografie
In 2008 lanseaza primul track produs in studioul Whiteeffect Studio ce se intituleaza “You gonna Fight” ce inregistreaza un succes neasteptat pe vremea aceea.In acelasi an o cunoaste si pe Dora care accepta sa fie vocea pentru al doilea single semnat “Dj Dark ft Dora – Someday”.
La inceputul anului 2010 incepe colaborarea cu postul de radio VIBE FM unde devine din ce in ce mai apreciat datorita dorintei sale de a oferi seturi cat mai pozitive ascultatorilor.",40659,331044,"Misha Miller, Vanotek, Unklfnkl, Monoir, Qodës"
Toyota Playa,funk,deep funk,Deep Cold,2024,7LdPMdpp2EAivGbAYdRAMG,53TMMqAw4LUmTaKAiNsOci,20,,1559,9331,"Memortal, HURRICANE PLAYA, Nismo Playa, Nissan Playa, BLASTED SPACE"
Jordan Astra,funk,deep funk,Pocket Change,2024,6Idi9LJfUXnEycEItDViBd,5zHs3A7vJQgHLRfoFULxp5,35,"Jordan Astra is an Indonesian-Canadian singer / songwriter / producer based in Toronto. A student of Soul and R&B, Astra has created a sound that blends the musical stylings of Pharrell and Jamiroquai with subtle influences of Bruno Mars, SG Lewis, and Lucky Daye to create something uniquely his own.

The last 12 months have been special for Jordan. In late 2023, he independently released ‘Man From East’, an EP that explores the depths of Jordan’s journey from Australia returning back to his home in Canada and starting from scratch.",41757,188586,"THEHONESTGUY, Emotional Oranges, Armando Young, Christian Kuria, astels"
Psycho Playa,funk,deep funk,Come to Deep,2024,7FS9HNDJJKQqtNtGkQJuD3,7C9BrFI3RHOhPN8x7F8hOd,35,,18598,168957,"SH3TLVIZ, OnL, yungalligator, You Lost, FILV"
Nari,funk,deep funk,Sweet Deep,2024,3DRemgHXAllj5OeIHu0l4P,6BIMTJ2IuMUtUd4dTTuUEF,12,"Melancholia (nari) is a 17 year old agender musician from South Africa. Her first recorded song was under an unknown alias and released in March of 2019. Since then, she has expanded continuously and developed her sound as an artist predominant in the Hyperpop scene",49789,214561,"Richard Grey, Sean Finn, Yvvan Back, Norman Doray, Milk & Sugar"
Baka G,funk,deep funk,In Circles,2024,1WgCtxplhe1te3xarF5HBX,2B9aXfZh1J2MMAf8IrvktH,21,,4591,17348,"Luca Olivotto, Vertigini, Denyl Brook, Nübel, Maison Blanche"
DJ DANLIVE,funk,deep funk,Quer Viver o Momento,2024,0wsUVecRsnYmI6GhrUwGVG,7L3OHwn0mQE93JRy9jqhvU,51,,11771,74863,"nadir netto, DJ Tubas, Vinicius Cavalcante, NOOBREAK, Décio Gomes"
Stef Davidse,funk,deep funk,SAME MAN,2024,5N0T9xlcaNTwy1xjoNocaJ,6c3AAEruLHeKmncAEk5HMP,32,,11577,65030,"East End Dubs, Mason Collective, Jesse Maas, Elliot Schooling, Anil Aras"
Mentol,funk,deep funk,Bad Dreams,2024,3LP1vuC70veY9vKSBl8SsQ,7ANhVwxiPyJtaEyiyrjgoN,19,,11069,50419,"BOOSTEREO, LexMorris, Max Martis, Cale, PHURS"
Never Dull,funk,deep funk,Believe,2024,1hHGlRSwjgELTv5L7ZX55O,4DjRoqihbZTEVdjdzmHyql,25,"Born and raised in San Diego, Never Dull mixes his Latin American heritage with the Californian vibes he has always known to produce his energizing groovy sound and share nothing but positive vibes with dance music lovers around the globe.
 
Producing tracks since 2017, Never Dull has released more than 100 official tracks including original productions, disco edits, and remixes ranging from old classic house to nu-disco. Along the way, he has received support from DJs like Disclosure",78440,570085,"Bellaire, sometimes jah, SOUL LEGEND, geods sorèd, Sunflwr"
ONIMXRU,funk,deep funk,DEEP FUNK MONTAGEM ADRENALINA,2024,1qDvt1z1PDedgtJN8cVcRa,3AUWKBy3qX4lTnDHFVqUG1,21,,237886,2671046,"PLAYAMANE, SHADXWBXRN, Kute, MoonDeity, KSLV Noh"
Joe Vanditti,funk,deep funk,Funkmania - Original Mix,2024,5JHVKZIaFughhKCZyQfPF6,6VG8pXtidNG0xB2XLz9MZq,31,,4327,20844,"Tomi&Kesh, VITO (UK), chinonegro, Angel Heredia, Jay de Lys"
22DEADROSES,funk,deep funk,Knee Deep,2024,2FrPnMaB911IgMFmcD3Qer,3tGiu8awwxrvM4vDzLQcOd,23,,1549,4710,"DJ Scottydog, 5x, Human Theory, Astro Luce, Latncy"
DELACOUR,funk,deep funk,Desert Funk,2024,2ie5YkVTJAUYzV9xY8sCmI,4eN1f1mzdOnj9x3QiNh0EF,28,,103103,589468,"Sunflwr, Djibouti, geods sorèd, mallin, sometimes jah"
Patrick DJ,funk,deep funk,Eu Tô Boladão,2024,4FstNKO7jHlgZsHCLzbuwc,082d6lhUWv8jen339D7jDN,42,,60162,404844,"MC C4, Décio Gomes, MC Madimbu, Dj Rokazz, DJ PIRES"
ColorJaxx,funk,deep funk,When You Find - Original Mix,2024,1hXBJ2vVfN7QrT2emodW0J,3VJNcL0aDUZXEd46yryi71,24,,4757,20003,"Olivier Verhaeghe, SUE AVENUE, Ricky Razu, BNJ, Stogov"
Funk Cartel,funk,deep funk,Energy Cycle - Original Mix,2024,1HXgcCM0nzG8PVA2frKZC7,2g69nxboMvYo8zUmotb8dz,20,,7693,34990,"Stef Davidse, DXNBY, Ryan Resso, Dan Fresco, East End Dubs"
Dousk,funk,deep funk,Last Night,2024,4g3iOFjDLZev3aWYB3H0f2,3OfKvnUkNxd0HVltH1CNYg,28,"John Ntouskos, aka Dousk, is a new artist from Greece. 
Born in Athens in 1979, he completed his classical music studies in 1999. The studies included classical piano, jazz and electronic music production/engineering. 

Dousk, along with Jose Zamora, is the founder of the JDK Project. 

He is currently studying economics at the University of Patras in Greece, though most of his time is spent in front of a computer in his home studio. dousk has also produced music for radio and TV ads during the past two years.",58633,601825,"Way Out West, Guy J, Quivver, Sasha, Bedrock"
Deepmore,funk,deep funk,Love You - Saison Remix,2024,3eQr29PXm14vcKG5waIdJ4,7DAzht3DhjeSwonVSKvuqI,10,,706,1689,"Punky Wash, SHAGGii, Stogov, Jame Moorfield, ColorJaxx"
Music P,funk,deep funk,U Got Me Dancing - Radio Edit,2024,3Ve725pdNmdrS2IYb1zSLk,3SvgnfS05c2DlMp5rLM1WN,20,,11898,42593,"WeAreTreo, Airdust, Nathan Behrens, Hein+klein, Dubl Deckers"
Gentleman (DJ),funk,deep funk,Princess Syndrome - Wise Funk Remix,2024,1GrVOKxMz8BqyLYmmDsiL8,3nZyccoLaKceoxre33zSKA,30,,2188,16153,"MIKE DERO, Sarandub, Gaston Lopez, Zeu5, KANEDO"
Philippa,funk,deep funk,Blue Skies - Fouk Remix,2024,40mSrQgcwESMd3GruUKAHg,1Kd3U764E7ZJsoo9Fl9eFt,29,,3159,9875,"Makèz, Luca Olivotto, Jimpster, GL4M, Borrowed Identity"
Jo Paciello,funk,deep funk,From the Ghetto - Deep Jazz Radio Mix,2024,5U68C7mjjxiZ76KyWI5owi,7r8qmaU8VLM2U6GyHip4MW,27,"Jo Paciello is one of the most talented and intreseting artist in the Jaking House Division. Grown in the 90's, the golden age of house, today he's always in the Jaking House top Charts.",8676,46699,"Saison, ColorJaxx, T.Markakis, Jesper Ryom, Moe Turk"
Cameron Jack,funk,deep funk,Funky Lover,2024,0aB3RfnstLAlElZvBdQv7S,0qT6MhsfVQvgWFWHpnmHhW,15,,1537,4282,"Jamek Ortega, Emanuel Satie, Kashovski, Mita Gami, Simone Vitullo"
Alex Finkin,funk,deep funk,House Music Is... - N.W.N. Side A Mix,2024,6YTMb6ziOGfVYKheMcEgp8,4LIjcQTpjrtD1eX53T1fso,16,,710,2578,"N dinga Gaba Feat Scotty P, Nathan Adams, Kentphonik, SHAGGii, Anane"
RUZE,funk,deep funk,FUTUR,2024,1YyN7HdtdZdzIYfYbE6NUf,3ZdMf6kjyZbRCZ5dZQyOWW,35,"With releases on labels PIV, Elrow, Toolroom, Abode, Etiquette, Rawsome and many more; Ruze have forged a direct path through House music with their trademark sound, garnering DJ support from the likes of Prunk, Chris Stussy, Toman, Josh Butler, MK, Wade, Latmun, Mark Knight, Format B, Prok & Fitch, Hector Couto, and Russ Yallop to name a few. Expect quality productions and infectious grooves from the UK’s newest exports.",32805,242527,"Lxury, Blackchild (ITA), Robbie Doherty, Luuk Van Dijk, Lemtom"
Sergio Helou,funk,deep funk,Funky Deep (Sunset Sunset Remix) - remix,2024,1s4Rp6k3b3ELvgRS9NZYUA,73ySPcxIa6xEDthA9x8THV,1,,705,1236,"Stefano Maschio, JussComplex, G.Pantelidis, Joy Legend, Jazzy System"
The Dip,funk,deep funk,Cover Your Tracks,2024,2ummsa24vFGtlWuaHjwwOs,6C8U1GaZoEocQR4CqvW9SK,26,"The Dip is an electrifying nine-piece soul band from Seattle, Washington. Featuring three members of Beat Connection, the band toes the line between crooning soul and hard-driving funk. Featuring crunchy lines from the Honeynut Horns, The Dip is a throwback groove that is sure to get you movin'.",237946,2893657,"Sir Woman, St. Paul & The Broken Bones, Lake Street Dive, Sammy Rae & The Friends, The Meltdown"
Chet Baker,funk,deep funk,Funk in Deep Freeze,2024,3jp7bWwjb2s7Otyewb1Kc7,01FwpQP88PwU2y2LZATUQc,16,"Chesney Henry ""Chet"" Baker, Jr. (December 23, 1929 – May 13, 1988) was an American jazz trumpeter, flugelhornist and vocalist.
Baker earned much attention and critical praise through the 1950s, particularly for albums featuring his vocals (Chet Baker Sings, It Could Happen to You). Jazz historian David Gelly described the promise of Baker's early career as ""James Dean, Sinatra, and Bix, rolled into one."" His well-publicized drug habit also drove his notoriety and fame",1805728,50163673,"Chet Baker Quartet, Paul Desmond, Gerry Mulligan Sextet, Gerry Mulligan, Bill Evans"
Kolya Funk,funk,deep funk,Ello,2024,601LwXRXggUA1DYMIztMfy,70HrWYa0xmJqiM9DMyAllt,35,,8469,39830,"KiLLTEQ, Dj DimixeR, ONEIL, Vadim Adamov, D.Hash"
Deep Roger,funk,deep funk,Make Love Great Again - Original Mix,2024,7zx0kWjhIh5UwJ7FKZ1diE,4Bx1FiXdTsygzeYLO5t2xI,29,,308,927,"Louise Spiteri, Ellis Aaron, Venessa Jackson, DJ Czezre, Rony Breaker"
Slavik,funk,deep funk,Deep Kisses - Villybon Remix,2024,4r5Gu4fP5VCH2jcnEue6yC,6ebI4eNda1V0uBnYPTcYDt,32,,12049,154112,"The Cratez, LOKO BEN, TheDoDo, Fero47, Raportagen"
Sergio Helou,funk,deep funk,Sergio Helou - Deep Funk 2020 (Original Mix) Remastered,2024,5LVuU2fDjqG34nxXeSrOd8,4Buld3rX52OSDzWbKT6RdZ,1,,705,1236,"Stefano Maschio, JussComplex, G.Pantelidis, Joy Legend, Jazzy System"
Sergio Helou,funk,deep funk,Funky Deep (Sunset Radio Edit) - remix,2024,5aqdAeAOQkax63f6z3Ptv1,73ySPcxIa6xEDthA9x8THV,3,,705,1236,"Stefano Maschio, JussComplex, G.Pantelidis, Joy Legend, Jazzy System"
Micky More & Andy Tee,funk,deep funk,Deep Into Soul - Extended Mix,2024,3jTgGRMbTtP0xf436jTJR2,6x459oE7G00SaIfhygm1tz,17,,6563,25456,"Funkatomic, Right To Life, Serge Funk, Soulista, Ken@Work"
Gruuve,funk,deep funk,Vibeyyy - Original Mix,2024,4wb3TZgG9Zq6343eLq078i,5RZ495z0BwxdvaX4KkVShn,38,,5593,24217,"Tomi&Kesh, LondonGround, Simone Liberali, Neverdogs, Joe Vanditti"
Sergio Helou,funk,deep funk,Sergio Helou - Deep Funk 2020 (Radio Edit) Remastered,2024,7qvOagA4vybAUGBanc7F9T,4Buld3rX52OSDzWbKT6RdZ,3,,705,1236,"Stefano Maschio, JussComplex, G.Pantelidis, Joy Legend, Jazzy System"
Tobtok,funk,deep funk,Complicate It,2024,6sF9xywJzoCAdDcHeqqAfE,0z0kAoOGiTi9prRcjlPyRV,47,"30-year-old Tobtok aka Tobias Karlsson leads the new wave of Swedish electronic music DJ / producers. With over 400 million streams globally and consistent support across BBC Radio 1, KISS FM, Capital and more, including spins from Mistajam, Pete Tong, Scott Mills, Charlie Hedges, and Joel Corry, Tobtok continues to prove he is a rare talent. His single “New Levels“ was certified BBC Radio Tune of The Week and seems certain to become his biggest hit yet.",165187,1018879,"Astrality, Innerverse, Badflite, notsobad, Zac Samuel"
Kolya Funk,funk,deep funk,Dragostea Din Tei,2024,5yECwKqy3zH1vRaioWysLv,6CvjNYLv5GajLZHbpzttyX,48,,8469,39830,"KiLLTEQ, Dj DimixeR, ONEIL, Vadim Adamov, D.Hash"
Kolya Funk,funk,deep funk,"You’re My Heart, You’re My Soul",2024,2UTtePlxRzbSqLq48HhwHm,0qbck7HLDVz0z8k9c9wNd6,53,,8469,39830,"KiLLTEQ, Dj DimixeR, ONEIL, Vadim Adamov, D.Hash"
AYYBO,funk,deep funk,All We Need (Deep Inside),2024,4QH1B0fYwxCmFkY8bxhocr,18DfikKMks3PcTBfNIhBr9,59,"AYYBO (Aaron Bonnema) is a house producer and DJ from Southern California, known for his high-energy tech-house tracks and viral hits like “Hypnosis”, which even earned an official Pitbull remix. Starting as a drummer and school DJ, AYYBO turned his passion into a career, blending hip-hop, bass, and house influences. His catchphrase “GDB” (“Goddamn, baby”) became a symbol of positivity among fans. With a playful, visual approach to music and social media, he’s now touring and expanding his GDB Records label.",171761,1486576,"Biscits, Mau P, Fisher, Joshwa, Essell"
Nut-K,funk,deep funk,Deep In The Woods,2024,4jCJYKWL4mmOl45TU05XhB,1hconXn2qORCRqAfx5HHR6,0,"Nut-K first began DJing in his early teenage years. Before long he was making mixtapes for his buddies. One thing led to the other, and eventually, he had to try my skills as a musician. He hasn’t exactly been super devoted to getting his music out in the world. To him, it’s always been more about having fun and enjoying the process. He still does, although the creation process these days looks quite different from the early years.",185,851,"Bantwanas, Khonaye, Hannes Bieger, SHRII, Marc DePulse, Xenia Beliayeva, Kastis Torrau, Arnas D, TILT, Oliver Koletzki, Natascha Polke"
