Artista,Género musical,Tipo,Nombre,Año de lanzamiento,ID_Spotify,ID_Album,Popularidad,Nombre_Album,Año_Lanzamiento_Album,Artista_Principal_Album,Biografia_Resumen,Playcount_LastFM,Listeners_LastFM
Ogryzek,funk (Origen: funk),Canción,AURA,2024,6DvGOGRRjhURCE7weXWV3x,3P9fQkS77D9N2GEJl6wHrs,73,AURA,2024,Ogryzek,"Sebastian Kryrstian Ogryzek (born 2003) known simply as Ogryzek is a Polish music producer. His musical style has been described as Brazilian funk, drawing inspiration from artists like PXLWYSE and Eternxlkz.
Ogryzek skyrocketed to fame on Tik Tok with his viral tracks GLORY &  AURA. <a href=""https://www.last.fm/music/ogryzek"">Read more on Last.fm</a>",4653399,253361
Eternxlkz,funk (Origen: funk),Canción,SLAY!,2024,67smGwuPEtA6GAfeweAVNO,3xCc8FxQsm6AE7ZWJ7h5sx,77,SLAY!,2024,Eternxlkz,"Nurbek Myssiyev, professionally known as Eternxlkz (or 'Eternal'), is an electronic producer from Kazakhstan most known for his chill/atmospheric Brazilfunk works, his most notable examples being the likes of ""SLAY!"", ""BRODYAGA FUNK"", & ""ENOUGH!"". His unique style has reached multiple Billboard and Shazam charting positions, and he is among the leading figures of the Brazilfunk movement. <a href=""https://www.last.fm/music/Eternxlkz"">Read more on Last.fm</a>",5238629,311433
Trueno,funk (Origen: funk),Canción,TRANKY FUNKY,2024,5XOz9c4Enw0fzyIFZRHds8,3EWJoKrG9XnCjvAPzkQZ88,67,EL ÚLTIMO BAILE,2024,Trueno,"Mateo Palacios Corazzina, better known as Trueno, is an Argentine rapper and freestyler, originally from the La Boca neighborhood in Buenos Aires. He is known for his outstanding participation in rap battles, winning contests such as FMS Argentina and Red Bull Batalla De Los Gallos in 2019.

His debut album, Atrevido was released on July 23, 2020 through NEUEN and distributed by Sony Music Latin. The album features the collaborations of artists such as Alemán, Wos, Nicki Nicole and Bizarrap. <a href=""https://www.last.fm/music/Trueno"">Read more on Last.fm</a>",17973612,338493
MVSTERIOUS,funk (Origen: funk),Canción,SLAVA FUNK! - Slowed,2024,5V7BQt2MpxxjHapbEdSNMV,4vSAXNJg0q3iscJbAor60p,67,SLAVA FUNK! (Remixes),2024,MVSTERIOUS," <a href=""https://www.last.fm/music/MVSTERIOUS"">Read more on Last.fm</a>",586930,42911
MVSTERIOUS,funk (Origen: funk),Canción,SLAVA FUNK!,2024,6yKJ79xxOazt97C09GvxSK,4vSAXNJg0q3iscJbAor60p,72,SLAVA FUNK! (Remixes),2024,MVSTERIOUS," <a href=""https://www.last.fm/music/MVSTERIOUS"">Read more on Last.fm</a>",586930,42911
TUNE UNIVERSE,funk (Origen: classic funk),Canción,Funky Fusion,2024,5kHnW5wBk88rSnEkS5Oc0N,3ooyARPcPZ7vYOege7pD4l,26,Classical Capriccio,2024,TUNE UNIVERSE," <a href=""https://www.last.fm/music/TUNE+UNIVERSE"">Read more on Last.fm</a>",1039,500
Mc Brinquedo,funk (Origen: classic funk),Canción,Clássica,2024,4WyefaF5kzyeaMhaqJYVmR,0iL62PHdIfzs24CVrQBy2X,30,Nasceu na Sul,2024,Mc Brinquedo,"Vinícius Ricardo, conhecido como MC Brinquedo é um jovem funkeiro nascido em São Paulo e autor da música 'Boquinha De Aparelho'. O cantor começou praticar na esquina da própria casa, brincando com seus amigos. Durante uma das cantorias, o Mc 2K, padrinho do Mc Brinquedo, o chamou para fazer parte da equipe de artistas do escritório da KL.

Brinquedo tornou-se popular na internet fazendo uso de redes sociais como o facebook, Twitter e Instagram, onde com frequência interage com fãs e publica seu dia a dia. <a href=""https://www.last.fm/music/MC+Brinquedo"">Read more on Last.fm</a>",950434,79745
Kemmei Adachi,funk (Origen: classic funk),Canción,Muteki Funk,2024,788vTWpjkvvxGmzMFPuPDe,0TrNstPaeRP0BI4Q5qCclZ,22,ASTRO BOT (Original Soundtrack),2024,Kenneth C M Young," <a href=""https://www.last.fm/music/Kemmei+Adachi"">Read more on Last.fm</a>",139861,7489
Ray Charles,funk (Origen: classic funk),Canción,Mary Ann,2024,1W2VjMhyAI2b7gZCmaROn2,4q52tnb3lUSTa52M3bhKH8,15,Ray Charles Essentials: The Greatest Feel Good Jazz and Soul Hits,2024,Ray Charles,"Ray Charles (Ray Charles Robinson,  Albany, Georgia, September 23, 1930 - Beverly Hills, California, June 10, 2004), was an American singer-songwriter, musician, arranger, and band leader. 

As a rock and roll, rhythm & blues, soul, blues, jazz, country and pop musician he helped to shape the sound of rhythm & blues.

He brought a soulful sound to everything from country music (""I Can't Stop Loving You"") to rock and roll (""Mess Around""), to pop standards to a now-iconic rendition of ""America the Beautiful. <a href=""https://www.last.fm/music/Ray+Charles"">Read more on Last.fm</a>",43423872,2755619
Codec,funk (Origen: classic funk),Canción,LACRIMOSA FUNK,2024,0nxLpr7lBfQO1Jh4Ugf153,2pntjCoFH1m81XLO02aAmz,22,LACRIMOSA FUNK,2024,Codec,"There exist at least 5 different artists named Codec, including an unsigned rock band and an electronic duo active between 1999-2003. 
1. Progressive rock band: Codec is a band that makes music that is at once dangerous and beautiful, that channels the future through the past to compress and make sense of life and death. Their work deciphers the immense data of our uncertain existence and presents it on a soul level.

Band members:
Brian C. Andrews <a href=""https://www.last.fm/music/Codec"">Read more on Last.fm</a>",187815,27381
